,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
348,63.0,715.0,13.0,0.511,0.0,0.26,11.0,27.4,19.0,13.5,1.7,5.7,25.9,9.3,0.4,1.4,1.9,0.125,-3.6,5.8,2.2,0.8
349,68.0,2127.0,15.3,0.58,0.623,0.251,1.3,7.6,4.5,11.6,1.0,1.1,10.8,24.8,3.0,1.7,4.7,0.106,1.5,-2.5,-1.0,0.6
350,70.0,2209.0,19.3,0.577,0.364,0.318,2.6,11.5,7.1,24.9,3.2,1.5,16.1,26.3,2.6,2.3,4.9,0.107,2.2,-0.4,1.8,2.1
351,71.0,1830.0,24.0,0.63,0.003,0.258,16.6,30.6,23.7,9.5,1.0,1.8,13.3,21.8,5.5,2.1,7.6,0.198,2.5,0.1,2.6,2.1
352,63.0,1237.0,11.6,0.476,0.281,0.246,2.4,11.3,6.8,24.6,1.6,0.8,16.2,24.4,-0.7,0.7,0.0,0.0,-2.5,-2.2,-4.7,-0.8
353,24.0,341.0,16.3,0.538,0.0,0.228,15.2,21.9,18.7,2.8,1.1,5.8,11.4,14.5,0.5,0.5,1.0,0.134,-2.8,1.2,-1.6,0.0
354,63.0,1808.0,16.6,0.538,0.138,0.252,3.8,12.8,8.3,34.9,2.2,1.0,18.5,21.8,1.4,1.4,2.9,0.076,0.1,0.0,0.1,1.0
355,59.0,783.0,15.3,0.566,0.009,0.487,9.4,11.4,10.4,9.1,2.7,7.8,12.5,9.2,1.3,1.7,3.0,0.185,-1.2,6.8,5.6,1.5
356,76.0,1439.0,15.8,0.61,0.003,0.387,13.9,28.6,21.3,4.0,1.1,2.9,15.8,12.2,2.6,2.4,5.0,0.168,-1.6,1.7,0.1,0.8
357,64.0,1476.0,15.5,0.506,0.163,0.281,3.8,14.7,9.3,23.7,1.9,2.6,15.5,26.1,-0.2,1.5,1.4,0.045,-2.1,0.5,-1.7,0.1
358,76.0,1587.0,18.7,0.661,0.173,0.43,8.9,21.1,14.8,8.1,2.0,1.7,10.6,15.4,4.4,2.0,6.4,0.193,1.1,1.6,2.7,1.9
359,78.0,2384.0,20.5,0.578,0.008,0.642,10.9,33.4,21.9,7.1,1.0,4.5,15.2,24.3,2.8,3.7,6.4,0.13,-2.0,1.7,-0.3,1.0
360,29.0,427.0,12.8,0.498,0.227,0.207,3.0,7.7,5.3,22.4,2.2,0.4,15.3,26.4,-0.2,0.4,0.3,0.029,-2.5,-1.7,-4.2,-0.2
361,53.0,713.0,5.8,0.431,0.224,0.13,0.6,18.6,9.4,7.6,1.1,0.2,10.2,13.7,-0.7,0.6,-0.1,-0.008,-5.5,-0.4,-5.8,-0.7
362,66.0,2171.0,16.4,0.555,0.409,0.28,4.1,21.1,13.2,29.1,2.0,3.2,21.8,17.1,2.8,3.4,6.2,0.138,0.6,2.9,3.5,3.0
363,79.0,1957.0,6.6,0.512,0.666,0.105,1.9,16.2,8.9,9.0,0.5,2.1,18.3,12.6,-0.9,0.7,-0.2,-0.006,-3.0,0.0,-3.0,-0.5
364,79.0,1724.0,10.5,0.579,0.42,0.164,2.6,10.2,6.3,6.6,0.5,0.8,9.4,15.0,1.7,0.6,2.3,0.064,-0.7,-1.7,-2.4,-0.2
365,18.0,344.0,6.3,0.468,0.595,0.155,5.0,13.0,8.9,7.0,1.0,1.0,15.1,14.0,-0.2,0.2,0.0,0.005,-3.5,-0.2,-3.7,-0.1
366,75.0,2512.0,16.5,0.541,0.407,0.209,2.2,10.1,6.2,19.2,2.2,0.9,12.7,29.0,1.2,3.5,4.7,0.089,1.2,-0.3,0.8,1.8
367,70.0,1711.0,17.3,0.57,0.054,0.346,10.5,25.3,18.0,12.6,1.0,1.5,15.7,21.7,2.4,2.1,4.5,0.125,-0.8,0.4,-0.4,0.7
368,77.0,1900.0,16.7,0.575,0.445,0.142,1.3,25.1,12.8,10.4,1.1,2.1,6.0,20.5,2.6,2.2,4.9,0.123,0.1,0.3,0.4,1.2
369,30.0,918.0,10.5,0.487,0.415,0.168,1.0,8.5,4.7,19.8,1.3,0.8,13.7,25.0,-0.7,0.9,0.1,0.006,-2.1,-1.9,-4.0,-0.5
370,78.0,2220.0,9.1,0.526,0.343,0.187,2.3,10.1,6.1,8.4,1.5,0.7,12.8,17.9,-0.3,1.1,0.9,0.018,-2.2,-1.3,-3.4,-0.8
371,58.0,841.0,16.7,0.624,0.0,0.23,9.0,21.7,15.2,7.3,0.8,3.9,10.1,15.4,1.7,0.8,2.5,0.142,-1.3,0.5,-0.8,0.3
372,59.0,1458.0,15.7,0.599,0.301,0.166,7.4,28.1,17.8,9.2,1.3,2.7,14.8,17.1,1.6,1.7,3.3,0.11,-1.1,1.5,0.4,0.9
373,67.0,1272.0,12.8,0.561,0.493,0.384,1.0,9.8,5.3,16.7,1.8,0.8,13.0,20.1,1.4,0.9,2.3,0.087,-0.3,-1.6,-1.8,0.0
374,54.0,1865.0,18.1,0.561,0.364,0.312,1.5,12.7,7.0,24.5,1.2,0.6,13.9,31.6,1.9,0.5,2.4,0.063,2.9,-2.4,0.5,1.2
375,2.0,9.0,-3.2,0.25,0.5,0.0,0.0,11.8,5.9,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,-0.192,-11.5,-6.7,-18.2,0.0
376,17.0,139.0,15.9,0.646,0.394,0.606,4.0,16.9,10.4,9.3,1.5,1.8,12.6,15.4,0.3,0.2,0.5,0.171,0.0,0.5,0.5,0.1
377,21.0,366.0,12.3,0.515,0.164,0.267,4.0,6.0,5.1,14.6,0.7,0.9,14.8,26.2,-0.1,0.0,-0.1,-0.01,-3.5,-4.0,-7.4,-0.5
378,19.0,245.0,10.3,0.488,0.346,0.462,9.6,7.8,8.7,5.1,0.8,4.4,10.1,12.7,0.2,0.3,0.4,0.081,-2.5,0.8,-1.7,0.0
379,73.0,2044.0,18.8,0.594,0.084,0.319,10.6,18.4,14.5,8.0,1.3,3.2,10.3,18.5,4.3,3.2,7.5,0.176,0.4,2.1,2.5,2.4
380,77.0,2095.0,12.1,0.527,0.513,0.071,2.4,18.3,10.0,17.8,1.5,0.5,11.8,17.5,1.0,1.6,2.6,0.059,-0.4,0.0,-0.5,0.8
381,67.0,1978.0,12.8,0.475,0.333,0.189,2.6,11.8,7.1,29.0,1.7,0.7,15.0,29.1,-2.3,1.7,-0.7,-0.017,-1.5,-0.7,-2.2,-0.1
382,67.0,2078.0,17.3,0.515,0.229,0.231,2.4,8.8,5.6,36.4,1.7,0.2,12.7,30.4,1.6,1.0,2.6,0.06,1.5,-2.2,-0.7,0.7
383,3.0,17.0,24.6,0.82,0.25,0.5,6.6,0.0,3.2,35.5,2.8,0.0,17.0,14.8,0.1,0.0,0.1,0.298,5.0,-4.0,1.0,0.0
384,73.0,2180.0,14.3,0.55,0.498,0.313,5.0,18.4,11.7,10.6,1.3,1.0,10.3,19.8,2.3,1.8,4.1,0.09,0.5,-0.2,0.2,1.2
385,48.0,1737.0,22.7,0.583,0.34,0.456,6.8,31.0,19.3,23.2,2.2,3.5,18.9,31.9,1.5,3.2,4.7,0.129,2.0,3.6,5.6,3.3
386,77.0,2616.0,21.3,0.558,0.202,0.399,2.4,10.4,6.5,24.8,1.6,0.6,9.5,29.7,6.8,2.6,9.5,0.174,2.9,-0.9,2.0,2.6
387,65.0,1339.0,16.8,0.577,0.342,0.261,3.8,11.5,7.7,19.8,2.5,2.0,14.2,17.2,2.4,1.9,4.3,0.153,1.3,1.6,2.9,1.6
388,78.0,1669.0,14.9,0.484,0.057,0.228,7.0,22.6,14.7,20.5,2.8,1.4,16.9,20.7,-0.3,3.3,3.0,0.085,-2.3,3.5,1.1,1.3
389,55.0,711.0,6.2,0.485,0.52,0.049,1.2,10.8,6.1,8.1,2.6,1.7,16.1,7.8,-0.1,0.7,0.6,0.037,-3.2,1.2,-2.0,0.0
390,73.0,2321.0,20.2,0.651,0.0,0.541,15.0,37.6,26.5,7.1,0.8,2.5,16.3,15.2,5.8,3.5,9.2,0.191,0.5,1.8,2.3,2.5
391,23.0,395.0,6.2,0.467,0.239,0.248,2.3,15.8,9.1,14.1,1.9,2.2,25.8,18.0,-0.9,0.4,-0.5,-0.06,-6.6,1.1,-5.5,-0.3
