BTC_USD,ETH_USD,DASH_USD,NMC_USD,LTC_USD,PPC_USD,XRP_USD,VTC_USD,SP500,DGS1MO
0.611729421,-6.663143154,1.627931448,0.159313873,0.032604425,-0.13811841,-0.227195507,0.550613342,-1.019637662,0.19
-0.145615577,2.341576433,-0.738148075,-0.224853777,0.13153438,0.116835545,-2.410407226,-5.816333785,1.045286195,0.19
-0.157889996,-5.934738582,-1.713937877,-1.416145532,-0.326394911,-3.37564193,-5.943463405,1.970473333,-1.204813324,0.2
-0.568383255,-3.538748301,1.310293596,-0.083562977,-0.774880208,-0.978928943,-3.012189343,1.072895783,0.278273127,0.2
0.506389706,-11.73022834,-9.602441637,-3.390255078,0.665430426,-3.535686038,-9.804211376,-2.28964004,-0.274355303,0.19
0.638692024,-14.96599072,2.272973847,-0.444637316,0.478526314,-0.102658943,-2.732091147,-5.604211922,0.961576331,0.21
-0.343021298,7.779744827,0.085960604,-0.666637964,-0.568336639,-3.373846126,-3.281815326,0.957091579,0.999009308,0.21
0.129243838,4.173283868,-1.467897976,-0.714187379,0.023155618,5.113461286,9.921353436,2.216050958,0.017286085,0.21
1.271921454,-1.737391905,-6.198233289,2.803368629,1.203372829,1.499025022,2.123887936,0.363978568,-0.098474612,0.19
-0.261448134,9.187899335,3.300590902,-1.324400251,-1.179295496,-2.595456267,8.401028308,20.46246127,0.651967426,0.16
1.601237595,-3.618471815,2.625857784,3.441931984,1.372471264,2.037572932,1.857554983,12.59142876,0.307975663,0.18
1.341112181,-2.899859586,-0.69041185,-1.688896968,-0.206905213,-3.586392398,1.754675636,-2.986872594,0.076132474,0.18
1.804237082,-4.39013866,-2.480136214,-1.186599865,2.05357752,1.215896182,2.575597933,-1.486824481,-0.520759997,0.19
-0.823986988,-3.528626211,1.381600044,-0.220879284,-0.81403001,-1.050254066,-2.024937976,-12.8214157,0.004781189,0.19
3.459259239,-3.472344634,-1.769332531,9.093246864,13.83356554,10.32354252,-0.013732964,-25.77603348,-0.181367098,0.17
1.005489669,-2.104231206,-1.513824582,-0.587044036,5.959885452,1.387351078,-2.615256018,-2.590019726,0.187104223,0.19
-4.700588972,4.78985871,3.354943502,-3.315452864,-3.934476592,-4.08193384,-5.35583211,0.486469007,0.164801738,0.18
0.967666563,-7.872001665,2.691516306,0.160501313,-2.636441072,-0.422098077,-0.581614689,-1.479650959,-0.92737109,0.17
1.34631939,3.893362478,2.193046269,0.036078815,0.66034605,-0.86801496,1.085914077,-0.202877823,-0.507594465,0.16
-2.318035034,30.95812898,3.386328902,-5.505829978,-3.557665079,-5.284799593,-0.668006791,10.1557913,0.777966318,0.11
1.25926788,-8.754792174,-0.373949203,-0.217857593,1.633192085,1.188360288,-2.320426175,-8.522662608,-0.871458903,0.18
-0.798643493,1.094801277,0.502042025,-1.131750228,0.157054375,-1.990512899,-3.679685081,-4.017588779,-0.595458304,0.18
0.280324566,4.286866489,-0.168676967,0.104868138,-0.883037518,0.271032503,-2.077416674,1.222532163,-0.023892241,0.2
2.562337748,-5.002526516,-0.861577503,3.342313546,2.873352969,1.541796898,3.272213358,-1.87320857,0.316960563,0.2
0.191287587,-0.524654888,-2.593174147,3.044876236,5.950063283,2.208327157,0,-12.03694538,0.075318955,0.21
-2.104147026,0.683731825,2.888070102,-4.441707681,-6.027536549,-4.267062354,-2.004648773,-2.288206104,1.240638831,0.25
0.405702457,6.560534487,-0.441933052,-3.583175059,1.63921821,-0.860632805,-1.332174999,0.212790946,-0.960755549,0.25
0.449148499,0.613548659,0.417312498,2.767316014,-0.65822146,-2.076467638,-0.356097848,-5.726363835,-0.016955023,0.25
0.198591117,4.365518527,2.69739465,-0.601473758,1.770172011,0.95632451,-0.944939816,-0.724555884,-0.851437496,0.25
